equipo,liga,elo,partidos_muestra,gf_casa,gc_casa,gf_fuera,gc_fuera,tiros_puerta_favor,tiros_puerta_contra,ultimo_partido
Barcelona,LaLiga,1864.7,20,2.9,0.6,2.25,1.3,6.88,3.48,2026-09-06
Bayern Munich,Bundesliga,1859.2,20,3.9,1.0,3.05,1.0,8.22,3.2,2026-09-05
Arsenal,Premier League,1855.1,20,2.05,0.6,1.55,0.8,4.95,2.38,2026-09-06
Man City,Premier League,1841.3,20,2.4,0.65,1.8,1.1,5.5,3.25,2026-09-05
Inter,Serie A,1819.5,20,2.6,0.95,2.0,0.95,6.0,2.92,2026-09-05
Real Madrid,LaLiga,1797.1,20,2.6,0.85,1.55,1.05,6.83,3.27,2026-09-04
Sp Lisbon,Liga Portugal,1773.3,20,2.95,0.7,2.25,0.8,6.7,2.85,2026-09-05
Benfica,Liga Portugal,1772.7,20,2.3,0.85,2.35,0.6,6.22,3.0,2026-09-09
PSV Eindhoven,Eredivisie,1766.3,20,3.45,1.5,2.7,1.1,7.58,4.0,2026-09-05
Dortmund,Bundesliga,1764.0,20,2.45,0.8,2.0,1.2,4.92,3.67,2026-09-05
Roma,Serie A,1757.0,20,1.9,0.55,1.5,1.05,5.0,3.62,2026-09-05
Porto,Liga Portugal,1755.5,20,1.95,0.35,2.0,0.65,5.45,2.35,2026-09-04
Como,Serie A,1741.7,20,1.75,0.85,1.75,0.75,5.25,3.25,2026-09-04
Man United,Premier League,1739.8,20,2.2,1.3,1.55,1.45,5.8,3.8,2026-09-06
Liverpool,Premier League,1738.2,20,1.8,1.1,1.5,1.65,4.72,4.05,2026-09-04
Paris SG,Ligue 1,1733.5,20,2.3,0.9,2.05,1.1,6.9,3.2,2026-09-04
Juventus,Serie A,1718.7,20,1.8,0.85,1.35,0.9,5.88,2.77,2026-09-06
Bournemouth,Premier League,1711.4,20,1.5,1.05,1.5,1.7,4.72,4.17,2026-09-05
Napoli,Serie A,1708.2,20,1.7,1.0,1.35,1.05,4.7,3.23,2026-09-05
Stuttgart,Bundesliga,1707.7,20,1.9,0.9,2.3,2.0,6.2,4.55,2026-09-04
Leverkusen,Bundesliga,1703.9,20,2.3,1.15,1.8,1.75,5.28,4.83,2026-09-05
Brighton,Premier League,1697.1,20,1.7,1.0,1.25,1.5,4.72,3.92,2026-09-05
Brentford,Premier League,1696.8,20,1.8,1.1,1.15,1.6,4.0,4.28,2026-09-05
Milan,Serie A,1695.8,20,1.35,1.05,1.45,0.8,4.15,3.65,2026-09-06
Flamengo RJ,Brasileirao,1693.5,20,1.95,0.7,1.95,1.15,,,2026-09-06
Ath Madrid,LaLiga,1692.6,20,2.1,0.9,1.25,1.45,5.08,3.77,2026-09-05
Chelsea,Premier League,1690.4,20,1.5,1.4,1.55,1.5,4.35,4.33,2026-09-06
